Artturi,Lehkonen,62,,8477476,1995-07-04,COL,34,3,5,8,12
Nathan,MacKinnon,29,,8477492,1995-09-01,COL,213,26,51,77,47
Logan,O'Connor,25,,8481186,1996-08-14,COL,69,11,11,22,45
Fredrik,Olofsson,22,,8478028,1996-05-27,COL,37,3,6,9,45
Mikko,Rantanen,96,,8478420,1996-10-29,COL,160,26,34,60,47
Miles,Wood,28,,8477425,1995-09-13,COL,88,8,9,17,42
Bowen ,Byram,4,,8481524,2001-06-13,COL,49,6,6,12,39
Samuel,Girard,49,,8479398,1998-05-12,COL,31,1,10,11,26
Jack,Johnson,3,,8471677,1987-01-13,COL,48,2,7,9,47
Caleb,Jones,82,,8478452,1997-06-06,COL,16,0,4,4,20
Kurtis,MacDermid,56,,8477073,1994-03-25,COL,8,2,0,2,24
Cale,Makar,8,,8480069,1998-10-30,COL,127,10,44,54,42
Sam,Malinski,70,,8484258,1998-07-27,COL,27,3,7,10,21
Josh,Manson,42,,8476312,1991-10-07,COL,67,5,11,16,42
Devon,Toews,7,,8478038,1994-02-21,COL,87,8,21,29,47
Nick,Bonino,12,,8474009,1988-04-20,NYR,29,1,4,5,44
Jonny,Brodzinski,22,,8477380,1993-06-19,NYR,41,1,8,9,27
Filip,Chytil,72,,8480078,1999-09-05,NYR,22,0,6,6,10
Will,Cuylle,50,,8482157,2002-02-05,NYR,68,8,5,13,46
Barclay,Goodrow,21,,8476624,1993-02-26,NYR,35,1,4,5,44
Kaapo,Kakko,24,,8481554,2001-02-13,NYR,32,3,1,4,25
Chris,Kreider,20,,8475184,1991-04-30,NYR,131,22,21,43,46
Alexis,Lafrenière,13,,8482109,2001-10-11,NYR,119,11,15,26,46
Artemi,Panarin,10,,8478550,1991-10-30,NYR,184,28,34,62,46
Tyler,Pitlick,71,,8475752,1991-11-01,NYR,28,1,2,3,29
Vincent,Trocheck,16,,8476389,1993-07-11,NYR,114,15,29,44,46
Jimmy,Vesey,26,,8476918,1993-05-26,NYR,76,9,5,14,44
Blake,Wheeler,17,,8471218,1986-08-31,NYR,65,7,10,17,46
Mika,Zibanejad,93,,8476459,1993-04-18,NYR,111,15,29,44,45
Adam,Fox,23,,8479323,1998-02-17,NYR,62,7,26,33,36
Erik,Gustafsson,56,,8476979,1992-03-14,NYR,64,4,17,21,45
Zac,Jones,6,,8481708,2000-10-18,NYR,17,0,3,3,15
Ryan,Lindgren,55,,8479324,1998-02-11,NYR,43,2,5,7,45
K'Andre,Miller,79,,8480817,2000-01-21,NYR,53,7,10,17,44
Braden,Schneider,4,,8482073,2001-09-20,NYR,47,3,9,12,46
Jacob,Trouba,8,,8476885,1994-02-26,NYR,83,3,15,18,46
Jamie,Benn,14,,8473994,1989-07-18,DAL,79,8,20,28,46
Evgenii,Dadonov,63,,8474149,1989-03-12,DAL,55,10,10,20,44
Ty,Dellandrea,10,,8480848,2000-07-21,DAL,16,1,2,3,20
Matt,Duchene,95,,8475168,1991-01-16,DAL,96,15,26,41,45
Radek,Faksa,12,,8476889,1994-01-09,DAL,34,3,7,10,39
Roope,Hintz,24,,8478449,1996-11-17,DAL,103,20,22,42,44
Wyatt,Johnston,53,,8482740,2003-05-14,DAL,100,13,15,28,46
Mason,Marchment,27,,8478975,1995-06-18,DAL,84,14,19,33,45
Joe,Pavelski,16,,8470794,1984-07-11,DAL,112,19,23,42,46
Jason,Robertson,21,,8480027,1999-07-22,DAL,133,16,32,48,46
Tyler,Seguin,91,,8475794,1992-01-31,DAL,95,17,18,35,46
Craig,Smith,15,,8475225,1989-09-05,DAL,68,5,3,8,43
Sam,Steel,18,,8479351,1998-02-03,DAL,46,5,9,14,41
Jani,Hakanpää,2,,8475825,1992-03-31,DAL,39,2,6,8,46
Joel,Hanley,44,,8477810,1991-06-08,DAL,9,0,3,3,23
Thomas,Harley,55,,8481581,2001-08-19,DAL,73,9,14,23,43
Miro,Heiskanen,4,,8480036,1999-07-18,DAL,78,4,23,27,37
Esa,Lindell,23,,8476902,1994-05-23,DAL,64,3,16,19,46
Nils,Lundkvist,5,,8480878,2000-07-27,DAL,47,2,12,14,36
Ryan,Suter,20,,8470600,1985-01-21,DAL,60,1,9,10,46
Michael,Amadio,22,,8478020,1996-05-13,VGK,58,6,11,17,42
Ivan,Barbashev,49,,8477964,1995-12-14,VGK,69,11,12,23,46
Brendan,Brisson,19,,8482153,2001-10-22,VGK,5,1,0,1,3
William,Carrier,28,,8477478,1994-12-20,VGK,55,5,2,7,33
Paul,Cotter,43,,8481032,1999-11-16,VGK,60,5,10,15,46
Pavel,Dorofeyev,16,,8481604,2000-10-26,VGK,55,6,7,13,26
Jack,Eichel,9,,8478403,1996-10-28,VGK,173,19,25,44,42
Byron,Froese,51,,8475278,1991-03-12,VGK,0,0,0,0,3
Brett,Howden,21,,8479353,1998-03-29,VGK,45,5,8,13,44
William,Karlsson,71,,8476448,1993-01-08,VGK,93,15,17,32,38
Keegan,Kolesar,55,,8478434,1997-04-08,VGK,38,3,6,9,43
Jonathan,Marchessault,81,,8476539,1990-12-27,VGK,157,20,13,33,46
Sheldon,Rempal,56,,8480776,1995-08-07,VGK,2,0,0,0,1
Jonas,Rondbjerg,46,,8480007,1999-03-31,VGK,12,1,2,3,10
Nicolas,Roy,10,,8478462,1997-02-05,VGK,62,7,11,18,37
Chandler,Stephenson,20,,8476905,1994-04-22,VGK,56,7,17,24,42
Mark,Stone,61,,8475913,1992-05-13,VGK,96,15,32,47,46
Tobias,Bjornfot,26,,8481600,2001-04-06,VGK,0,0,0,0,3
Nicolas,Hague,14,,8479980,1998-12-05,VGK,60,1,8,9,38
Ben,Hutton,17,,8477018,1993-04-20,VGK,46,1,8,9,31
Kaedan,Korczak,6,,8481527,2001-01-29,VGK,23,1,7,8,20
Alec,Martinez,23,,8474166,1987-07-26,VGK,43,4,4,8,29
Brayden,McNabb,3,,8475188,1991-01-21,VGK,41,2,14,16,46
Brayden,Pachal,94,,8481167,1999-08-23,VGK,18,1,0,1,17
Alex,Pietrangelo,7,,8474565,1990-01-18,VGK,100,2,17,19,41
Shea,Theodore,27,,8477447,1995-08-03,VGK,52,4,14,18,20
Zach,Whitecloud,2,,8480727,1996-11-28,VGK,29,2,3,5,31
Aleksander,Barkov,16,,8477493,1995-09-02,FLA,117,11,35,46,40
Sam,Bennett,9,,8477935,1996-06-20,FLA,76,10,8,18,33
